Provinsi,2018,2019,2020,2021
Aceh,71.19,71.9,71.99,72.18
Sumatera Utara,71.18,71.74,71.77,72
Sumatera Barat,71.73,72.39,72.38,72.65
Riau,72.44,73,72.71,72.94
Jambi,70.65,71.26,71.29,71.63
Sumatera Selatan,69.39,70.02,70.01,70.24
Bengkulu,70.64,71.21,71.4,71.64
Lampung,69.02,69.57,69.69,69.9
Bangka-Belitung,NaN,NaN,NaN,NaN
Kepulauan Riau,74.84,75.48,75.59,75.79
DKI Jakarta,80.47,80.76,80.77,81.11
Jawa Barat,71.3,72.03,72.09,72.45
Jawa Tengah,71.12,71.73,71.87,72.16
Yogyakarta,79.53,79.99,79.97,80.22
Jawa Timur,70.77,71.5,71.71,72.14
Banten,71.95,72.44,72.45,72.72
Bali,74.77,75.38,75.5,75.69
Nusa Tenggara Barat,67.3,68.14,68.25,68.65
Nusa Tenggara Timur,64.39,65.23,65.19,65.28
Kalimantan Barat,66.98,67.65,67.66,67.9
Kalimantan Tengah,70.42,70.91,71.05,71.25
Kalimantan Selatan,70.17,70.72,70.91,71.28
Kalimantan Timur,75.83,76.61,76.24,76.88
Kalimantan Utara,70.56,71.15,70.63,71.19
Sulawesi Utara,72.2,72.99,72.93,73.3
Sulawesi Tengah,68.88,69.5,69.55,69.79
Sulawesi Selatan,70.9,71.66,71.93,72.24
Sulawesi Tenggara,70.61,71.2,71.45,71.66
Gorontalo,67.71,68.49,68.68,69
Sulawesi Barat,65.1,65.73,66.11,66.36
Maluku,68.87,69.45,69.49,69.71
Maluku Utara,67.76,68.7,68.49,68.76
Papua Barat,63.74,64.7,65.09,65.26
Papua,60.06,60.84,60.44,60.62
