Provinsi,2018,2019,2020,2021
Aceh,15.68,15.01,15.43,15.53
Sumatera Utara,8.94,8.63,9.14,8.49
Sumatera Barat,6.55,6.29,6.56,6.04
Riau,7.21,6.9,7.04,7
Jambi,7.85,7.51,7.97,7.67
Sumatera Selatan,12.82,12.56,12.98,12.79
Bengkulu,15.41,14.91,15.3,14.43
Lampung,13.01,12.3,12.76,11.67
Bangka-Belitung,4.77,4.5,4.89,4.67
Kepulauan Riau,5.83,5.8,6.13,5.75
DKI Jakarta,3.55,3.42,4.69,4.67
Jawa Barat,7.25,6.82,8.43,7.97
Jawa Tengah,11.19,10.58,11.84,11.25
Yogyakarta,11.81,11.44,12.8,11.91
Jawa Timur,10.85,10.2,11.46,10.59
Banten,5.25,4.94,6.63,6.5
Bali,3.91,3.61,4.45,4.72
Nusa Tenggara Barat,14.63,13.88,14.23,13.83
Nusa Tenggara Timur,21.03,20.62,21.21,20.44
Kalimantan Barat,7.37,7.28,7.24,6.84
Kalimantan Tengah,5.1,4.81,5.26,5.16
Kalimantan Selatan,4.65,4.47,4.83,4.56
Kalimantan Timur,6.06,5.91,6.64,6.27
Kalimantan Utara,6.86,6.49,7.41,6.83
Sulawesi Utara,7.59,7.51,7.78,7.36
Sulawesi Tengah,13.69,13.18,13.06,12.18
Sulawesi Selatan,8.87,8.56,8.99,8.53
Sulawesi Tenggara,11.32,11.04,11.69,11.74
Gorontalo,15.83,15.31,15.59,15.41
Sulawesi Barat,11.22,10.95,11.5,11.85
Maluku,17.85,17.65,17.99,16.3
Maluku Utara,6.62,6.91,6.97,6.38
Papua Barat,22.66,21.51,21.7,21.82
Papua,27.43,26.55,26.8,27.38
