Provinsi,2018,2019,2020,2021
Aceh,4.61,4.14,-0.37,2.79
Sumatera Utara,5.18,5.22,-1.07,2.61
Sumatera Barat,5.14,5.01,-1.62,3.29
Riau,2.35,2.81,-1.13,3.36
Jambi,4.69,4.35,-0.44,3.66
Sumatera Selatan,6.01,5.69,-0.11,3.58
Bengkulu,4.97,4.94,-0.02,3.24
Lampung,5.23,5.26,-1.67,2.79
Bangka-Belitung,NaN,NaN,NaN,NaN
Kepulauan Riau,4.47,4.83,-3.8,3.43
DKI Jakarta,6.11,5.82,-2.39,3.56
Jawa Barat,5.65,5.02,-2.52,3.74
Jawa Tengah,5.3,5.36,-2.65,3.32
Yogyakarta,6.2,6.59,-2.68,5.53
Jawa Timur,5.47,5.53,-2.33,3.57
Banten,5.77,5.26,-3.39,4.44
Bali,6.31,5.6,-9.33,-2.47
Nusa Tenggara Barat,-4.5,3.9,-0.62,2.3
Nusa Tenggara Timur,5.11,5.25,-0.84,2.51
Kalimantan Barat,5.07,5.09,-1.82,4.78
Kalimantan Tengah,5.61,6.12,-1.41,3.4
Kalimantan Selatan,5.08,4.09,-1.82,3.48
Kalimantan Timur,2.64,4.7,-2.87,2.48
Kalimantan Utara,5.36,6.89,-1.09,3.98
Sulawesi Utara,6,5.65,-0.99,4.16
Sulawesi Tengah,20.6,8.83,4.86,11.7
Sulawesi Selatan,7.04,6.91,-0.71,4.65
Sulawesi Tenggara,6.4,6.5,-0.65,4.1
Gorontalo,6.49,6.4,-0.02,2.41
Sulawesi Barat,6.26,5.56,-2.4,2.56
Maluku,5.91,5.41,-0.92,3.04
Maluku Utara,7.86,6.25,5.35,16.4
Papua Barat,6.25,2.66,-0.76,-0.51
Papua,7.32,-15.74,2.39,15.11
