Provinsi,2018,2019,2020,2021
Aceh,6.34,6.17,6.59,6.3
Sumatera Utara,5.55,5.39,6.91,6.33
Sumatera Barat,5.66,5.38,6.88,6.52
Riau,5.98,5.76,6.32,4.42
Jambi,3.73,4.06,5.13,5.09
Sumatera Selatan,4.27,4.53,5.51,4.98
Bengkulu,3.35,3.26,4.07,3.65
Lampung,4.04,4.03,4.67,4.69
Bangka-Belitung,NaN,NaN,NaN,NaN
Kepulauan Riau,8.04,7.5,10.34,9.91
DKI Jakarta,6.65,6.54,10.95,8.5
Jawa Barat,8.23,8.04,10.46,9.82
Jawa Tengah,4.47,4.44,6.48,5.95
Yogyakarta,3.37,3.18,4.57,4.56
Jawa Timur,3.91,3.82,5.84,5.74
Banten,8.47,8.11,10.64,8.98
Bali,1.4,1.57,5.63,5.37
Nusa Tenggara Barat,3.58,3.28,4.22,3.01
Nusa Tenggara Timur,2.85,3.14,4.28,3.77
Kalimantan Barat,4.18,4.35,5.81,5.82
Kalimantan Tengah,3.91,4.04,4.58,4.53
Kalimantan Selatan,4.35,4.18,4.74,4.95
Kalimantan Timur,6.41,5.94,6.87,6.83
Kalimantan Utara,5.11,4.49,4.97,4.58
Sulawesi Utara,6.61,6.01,7.37,7.06
Sulawesi Tengah,3.37,3.11,3.77,3.75
Sulawesi Selatan,4.94,4.62,6.31,5.72
Sulawesi Tenggara,3.19,3.52,4.58,3.92
Gorontalo,3.7,3.76,4.28,3.01
Sulawesi Barat,3.01,2.98,3.32,3.13
Maluku,6.95,6.69,7.57,6.93
Maluku Utara,4.63,4.81,5.15,4.71
Papua Barat,6.45,6.43,6.8,5.84
Papua,3,3.51,4.28,3.33
